Stand,Plot,Nmin,pH,Copies dry soil
6,7,0.3089703558,5.09,205330.0719
6,8,0.5360223631,4.63,693669.8078
6,9,0.6167027667,5.13,190189.7366
6,10,0.3466398399,5.23,399226.635
6,11,0.3275413743,5.07,188905.6784
6,12,0.4042144833,5.05,208318.6495
7,14,0.1966798637,4.22,195902.4387
7,15,0.06751635531,4.26,148116.3977
7,16,0.2921699696,4.31,491183.0205
7,17,0.182634966,4.31,372881.0558
7,18,0.1403743511,4.35,309642.3806
22,31,1.217547091,6.34,4089135.018
22,32,0.9141517817,5.9,1591225.437
22,33,0.7037430406,6.22,4683515.784
22,34,0.7699104638,5.8,905547.9145
22,35,0.9019284544,5.69,1474066.446
22,36,0.7232763881,5.63,1163032.54
24,37,0.8966727801,4.79,139860.2136
24,38,1.04434181,4.75,605689.8783
24,39,0.5003676952,4.96,451532.4284
24,40,0.5419320535,5.29,546955.3207
24,41,0.4340429722,5.65,762394.6619
24,42,0.6486813872,5.28,317922.65
41,51,0.7161097985,4.3,1473799.895
41,52,0.3340582023,4.24,761130.1686
41,53,0.1957805063,3.87,443574.7714
41,54,0.676325516,4.29,1945042.693
58,61,0,4.2,29992.80843
58,62,0.007238396787,4.37,18685.46233
58,63,0.007616212062,4.46,123899.6047
58,64,0.03943569931,4.44,50352.06841
58,66,0.05097478012,4.31,18343.35206
100,67,0.5668104925,4.4,1398852.071
100,68,0.7921448859,4.23,2820672.429
100,69,1.053763194,4.44,317296.3884
100,70,0.8278092433,4.74,598593.114
100,72,0.6038682681,5.38,345103